               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.023468,            0.028305,                   0,             0.88121,             0.99222,             0.97014,             0.69616,            0.023506,            0.031555,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.022659,            0.026524,                   0,             0.88164,             0.94893,             0.96331,             0.74646,            0.018971,            0.033531,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.022076,            0.027388,                   0,             0.87791,             0.96177,              0.9597,             0.69496,            0.021762,            0.033714,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.022565,            0.029814,                   0,             0.88549,             0.93631,             0.95941,             0.73424,             0.02018,            0.034554,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.02061,            0.028452,                   0,             0.90081,             0.92553,             0.97572,             0.70664,            0.023986,            0.034653,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.021369,            0.026356,                   0,             0.89037,             0.93118,             0.97244,             0.72258,            0.022453,            0.034405,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.023329,            0.027522,                   0,             0.87715,             0.94904,             0.96393,             0.73471,            0.019466,            0.035034,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.021302,            0.027216,                   0,             0.90192,             0.94904,             0.96377,             0.69698,            0.022853,            0.035805,                   0,             0.00604,             0.00604,             0.00604
                 122,             0.02065,            0.026052,                   0,             0.88108,             0.94383,             0.95408,             0.70396,            0.021383,            0.035557,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.022361,            0.026486,                   0,             0.87482,             0.95541,             0.96125,             0.72896,            0.019446,            0.034039,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.021985,            0.027854,                   0,             0.87127,             0.95541,             0.96727,             0.69426,            0.023392,            0.035492,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.022129,            0.026942,                   0,             0.88317,             0.94904,             0.97073,             0.74814,            0.019968,            0.034409,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.020917,             0.02634,                   0,             0.87498,             0.94268,             0.96509,             0.70534,            0.024355,            0.036507,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.022375,            0.026887,                   0,             0.90737,             0.93584,             0.94955,             0.70865,            0.022677,             0.03574,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.02196,            0.028568,                   0,             0.89215,             0.94268,             0.95914,             0.74616,            0.019772,            0.035275,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.022213,             0.02742,                   0,             0.88949,             0.92284,             0.96555,             0.71302,             0.02193,            0.036507,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.020743,            0.026051,                   0,              0.9154,              0.9172,             0.96427,             0.69362,            0.022173,            0.036247,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.021471,            0.025504,                   0,             0.91717,              0.9169,             0.96424,             0.65864,            0.025936,            0.037338,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.022264,            0.026743,                   0,             0.89312,             0.96178,             0.96718,             0.74208,            0.019806,            0.033134,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.021197,            0.023944,                   0,             0.90234,             0.94904,             0.96571,             0.73179,            0.020201,            0.034843,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.019196,            0.026294,                   0,             0.89715,             0.93631,             0.97113,             0.73873,            0.020778,            0.034542,                   0,            0.005611,            0.005611,            0.005611
                 135,             0.02087,            0.025996,                   0,             0.89112,             0.93838,             0.97297,             0.71885,            0.021749,            0.034893,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.020437,            0.026422,                   0,             0.89899,             0.94268,             0.96798,             0.74497,             0.01947,            0.033714,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.021525,            0.025659,                   0,             0.88577,             0.93843,             0.96497,                0.66,            0.026285,            0.036499,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.020081,            0.025961,                   0,             0.91297,             0.93543,             0.96924,              0.7345,            0.020265,            0.034756,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.02119,            0.026194,                   0,               0.882,             0.95541,             0.96353,             0.73621,            0.019626,            0.035603,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.020913,            0.025766,                   0,             0.90281,             0.94268,             0.96949,             0.71547,             0.02194,            0.035606,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.020681,            0.027092,                   0,              0.8886,             0.95541,             0.96828,             0.73758,            0.019659,            0.033756,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.020186,            0.026988,                   0,             0.87699,             0.96178,             0.96782,             0.69978,            0.023416,            0.036728,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.020598,            0.025209,                   0,             0.91529,             0.94904,             0.97002,             0.72479,            0.021628,            0.035645,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.020493,            0.026635,                   0,             0.88726,             0.95541,              0.9663,             0.74816,            0.019162,            0.034962,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.020961,            0.026154,                   0,             0.89168,             0.94377,             0.97533,             0.73198,             0.02164,            0.034595,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.019759,            0.025149,                   0,             0.88061,             0.94904,             0.96802,             0.74128,            0.019797,            0.036205,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.019838,            0.027233,                   0,               0.919,             0.93631,              0.9743,             0.74556,            0.020005,            0.033798,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.018919,            0.024007,                   0,             0.90765,             0.94268,             0.96956,             0.72399,            0.020308,             0.03495,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.019669,            0.024804,                   0,              0.8899,             0.94904,             0.96301,             0.71757,            0.020181,            0.036354,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.019433,            0.024113,                   0,             0.89928,             0.93631,               0.968,             0.73619,            0.019845,              0.0354,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.019342,             0.02513,                   0,             0.89131,             0.94268,             0.97063,             0.73603,            0.020118,            0.035534,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.020682,            0.025271,                   0,             0.90578,             0.91852,             0.96818,             0.74665,            0.019458,            0.034431,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.019481,             0.02403,                   0,              0.9083,             0.94635,             0.97405,              0.7435,            0.020231,            0.034302,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.019449,            0.026071,                   0,             0.87917,             0.95541,             0.97742,             0.72865,            0.021115,            0.033844,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.019223,             0.02401,                   0,             0.89518,             0.94904,              0.9699,              0.7348,             0.02045,            0.034512,                   0,            0.004918,            0.004918,            0.004918
                 156,             0.01941,            0.024481,                   0,              0.8778,             0.96178,             0.97065,             0.74713,            0.019065,            0.033726,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.018814,            0.023453,                   0,             0.87413,             0.97315,             0.97093,             0.72419,            0.020566,            0.035088,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.017804,            0.022819,                   0,             0.88226,             0.95541,             0.96601,             0.71189,            0.021695,            0.035538,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.018721,            0.024001,                   0,             0.87674,             0.96815,             0.96935,             0.73815,             0.02004,            0.033779,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.019401,            0.025122,                   0,             0.88681,             0.94818,             0.97148,             0.74419,            0.019566,            0.035362,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.019702,            0.025579,                   0,             0.86921,             0.97359,             0.97429,             0.75206,            0.019909,            0.034332,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.017715,            0.022527,                   0,             0.86913,             0.97452,             0.97353,             0.75914,            0.019773,            0.033756,                   0,            0.004687,            0.004687,            0.004687
                 163,             0.01859,            0.025122,                   0,             0.85873,             0.96797,             0.96816,             0.75703,            0.019379,            0.034821,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.019179,            0.024955,                   0,               0.892,             0.95541,             0.96712,             0.71829,            0.021968,            0.035873,                   0,            0.004621,            0.004621,            0.004621
